"Work","Expression","Manifestation","Title","Lang","Author"
"W17","E843","M1149","Baltassar","Dutch","Jesuits of Mechelen"
"W18","E699","M994","Athalia","Latin","Jesuits of Mechelen"
"W18","E1539","M1922","Athalia","Dutch","Jesuits of Mechelen"
"W19","E712","M1007","Judith","Latin","Jesuits of Brussel"
"W19","E713","M1008","Judith","Latin","Jesuits of Brussel"
"W20","E719","M1015","Stratiophilus","Latin","Jesuits of Mechelen"
"W20","E1126","M1465","Staurophilus","Latin","Jesuits of Mechelen"
"W21","E742","M1039","Esther","Dutch","Jesuits of Ieper"
"W21","E1541","M1924","Esther","Latin","Jesuits of Ieper"
"W22","E764","M1063","Chosroes","Dutch","Guilliam Caudron Jr."
"W22","E764","M1063","Chosroes","Latin","Guilliam Caudron Jr."
"W22","E1677","M2068","Chosroes","Latin","Guilliam Caudron Jr."
"W23","E770","M1069","Heli","Latin","Jesuits of Mechelen"
"W23","E771","M1070","Heli","Dutch","Jesuits of Mechelen"
"W24","E879","M1189","Joseph","Dutch","Jesuits of Ieper"
"W24","E1005","M1330","Joseph","Latin","Jesuits of Ieper"
"W24","E1086","M1420","Joseph","Latin","Jesuits of Ieper"
"W25","E907","M1219","Esther","Dutch","Jesuits of Cassel"
"W25","E925","M1238","Esther","Dutch","Jesuits of Cassel"
"W25","E925","M1238","Esther","French","Jesuits of Cassel"
"W26","E1134","M1473","Antichrist","Dutch","Jesuits of Ieper"
"W26","E1135","M1474","Antichristus","Latin","Jesuits of Ieper"
"W27","E1136","M1475","Tycho","Dutch","Jesuits of Bailleul"
"W27","E1137","M1476","Tycho","Latin","Jesuits of Bailleul"
"W28","E1266","M1614","Joannes Nepomucenus martelaer","Dutch","Augustinians of Gent"
"W28","E1267","M1615","Joannes Nepomucenus martyr","Latin","Augustinians of Gent"
"W29","E1269","M1618","Quis dolus affirmet, valeat quid fallere mortem","Latin","Augustinians of Gent"
"W29","E1270","M1619","Quis dolus affirmet, valeat quod fallere mortem","Latin","Augustinians of Gent"
"W30","E1302","M1655","Sisara","Latin","Jesuits of Ieper"
"W30","E1844","M2251","Sisara","Dutch","Jesuits of Ieper"
"W31","E1315","M1670","De goddelyke liefde zegepralende","Dutch","Oratorians of Mechelen"
"W31","E1315","M1670","Divina Charitas victrix","Latin","Oratorians of Mechelen"
"W31","E1573","M1956","Divina charitas victrix","Latin","Oratorians of Mechelen"
"W32","E1417","M1787","Athanes","Latin","Jesuits of Antwerpen"
"W32","E1418","M1788","Athanes","Latin","Jesuits of Antwerpen"
"W33","E1430","M1802","Jonathas","Latin","Jesuits of Gent"
"W33","E1432","M1806","Jonathas","Dutch","Jesuits of Gent"
"W34","E1442","M1817","Drolio sylvester","Latin","Augustinians of Antwerpen"
"W34","E1568","M1951","Drolio Sylvester","Latin","Augustinians of Antwerpen"
"W35","E1458","M1834","Titus ende Domitianus","Dutch","Jesuits of Gent"
"W35","E1459","M1835","Titus et Domitianus","Latin","Jesuits of Gent"
"W36","E1462","M1838","Calistus","Dutch","Jesuits of Mechelen"
"W36","E1462","M1838","Calistus","Latin","Jesuits of Mechelen"
"W36","E1464","M1840","Calista","Latin","Jesuits of Mechelen"
"W37","E1485","M1862","Subdolus ut vixit","Latin","Augustinians of Antwerpen"
"W37","E1640","M2030","Subdolus ut vixit","Latin","Augustinians of Antwerpen"
"W37","E1640","M2030","Zoo listig als hy heeft geleeft","Dutch","Augustinians of Antwerpen"
"W38","E1597","M1984","Jonathas","Dutch","Jesuits of Mechelen"
"W38","E1645","M2035","Jonathas","Latin","Jesuits of Mechelen"
"W39","E1662","M2053","Durus herus famuli deluditur","Latin","Jesuits of Mechelen"
"W39","E1662","M2053","Een al te strengen heer word van zyn knecht geplae","Dutch","Jesuits of Mechelen"
"W39","E1665","M2056","Een al te strengen heer wotd van zijn knecht gepla","Dutch","Jesuits of Mechelen"
"W40","E1","M1","Grisellis","Latin","Eligius Eucharius"
"W40","E1","M3","Grisellis","Latin","Eligius Eucharius"
"W40","E1","M6","Grisellis","Latin","Eligius Eucharius"
"W41","E2","M2","Acolastus","Latin","Guilielmus Gnapheus"
